Customers State,Orders Quantity,revenue,date
Alagoas,3,314.7,2017-08-15
Alagoas,1,810.0,2017-08-19
Alagoas,1,1597.35,2017-08-20
Alagoas,2,339.9,2017-08-21
Alagoas,1,82.8,2017-08-25
Alagoas,1,59.9,2017-08-26
Alagoas,1,669.99,2017-08-27
Alagoas,1,68.75,2017-08-29
Alagoas,2,1549.9,2017-08-30
Alagoas,1,179.9,2017-08-31
Alagoas,3,522.8,2017-09-01
Alagoas,1,1798.0,2017-09-03
Alagoas,1,79.0,2017-09-04
Alagoas,1,58.9,2017-09-05
Alagoas,1,69.9,2017-09-06
Alagoas,1,19.9,2017-09-11
Alagoas,1,279.9,2017-09-12
Alagoas,1,56.99,2017-09-13
Alagoas,1,117.3,2017-09-15
Alagoas,3,561.0,2017-09-17
Alagoas,2,318.9,2017-09-20
Alagoas,2,123.8,2017-09-23
Alagoas,1,288.0,2017-09-24
Alagoas,1,70.9,2017-09-29
Alagoas,1,79.0,2017-10-01
Alagoas,2,117.9,2017-10-06
Alagoas,2,269.8,2017-10-07
Alagoas,3,773.7,2017-10-08
Alagoas,1,89.99,2017-10-09
Alagoas,2,349.98,2017-10-12
Alagoas,1,19.9,2017-10-14
Alagoas,2,214.0,2017-10-16
Alagoas,2,821.48,2017-10-17
Alagoas,1,174.9,2017-10-18
Alagoas,1,95.0,2017-10-19
Alagoas,2,758.9,2017-10-21
Alagoas,1,259.9,2017-10-23
Alagoas,2,252.5,2017-10-27
Alagoas,2,165.41,2017-10-29
Alagoas,1,40.0,2017-10-30
Alagoas,2,862.0,2017-10-31
Alagoas,2,183.79,2017-11-01
Alagoas,1,59.9,2017-11-02
Alagoas,1,177.0,2017-11-03
Alagoas,1,60.99,2017-11-05
Alagoas,1,38.4,2017-11-07
Alagoas,2,667.79,2017-11-13
Alagoas,1,15.49,2017-11-15
Alagoas,1,45.73,2017-11-16
Alagoas,1,689.0,2017-11-20
Alagoas,1,89.9,2017-11-21
Alagoas,3,1173.7,2017-11-23
Alagoas,8,1282.56,2017-11-24
Alagoas,1,758.36,2017-11-25
Alagoas,1,323.18,2017-11-27
Alagoas,1,370.47,2017-11-29
Alagoas,1,623.99,2017-12-01
Alagoas,3,273.79,2017-12-02
Alagoas,1,20.0,2017-12-07
Alagoas,2,319.89,2017-12-09
Alagoas,2,659.9,2017-12-13
Alagoas,1,199.0,2017-12-23
Alagoas,1,12.3,2017-12-27
Alagoas,1,115.0,2017-12-30
Alagoas,1,148.0,2018-01-01
Alagoas,1,249.9,2018-01-03
Alagoas,1,225.0,2018-01-04
Alagoas,1,85.9,2018-01-06
Alagoas,1,23.8,2018-01-07
Alagoas,2,515.75,2018-01-09
Alagoas,1,49.9,2018-01-10
Alagoas,1,69.9,2018-01-11
Alagoas,2,92.97,2018-01-12
Alagoas,2,227.7,2018-01-13
Alagoas,1,124.8,2018-01-15
Alagoas,6,635.7,2018-01-16
Alagoas,1,149.99,2018-01-18
Alagoas,1,689.89,2018-01-19
Alagoas,1,29.99,2018-01-21
Alagoas,3,533.38,2018-01-22
Alagoas,3,268.86,2018-01-23
Alagoas,3,510.88,2018-01-24
Alagoas,1,279.9,2018-01-25
Alagoas,1,49.9,2018-01-26
Alagoas,1,21.99,2018-01-28
Alagoas,2,149.98,2018-01-30
Alagoas,1,689.89,2018-02-01
Alagoas,1,18.9,2018-02-02
Alagoas,1,899.0,2018-02-05
Alagoas,3,375.99,2018-02-06
Alagoas,1,48.9,2018-02-09
Alagoas,1,59.7,2018-02-13
Alagoas,2,35.55,2018-02-15
Alagoas,1,450.0,2018-02-16
Alagoas,2,38.99,2018-02-17
Alagoas,1,16.9,2018-02-18
Alagoas,3,429.7,2018-02-19
Alagoas,2,609.98,2018-02-20
Alagoas,1,249.99,2018-02-22
Alagoas,1,94.9,2018-02-23
Alagoas,2,249.98,2018-02-24
Alagoas,1,179.0,2018-02-25
Alagoas,1,63.8,2018-02-26
Alagoas,2,81.9,2018-02-28
Alagoas,1,76.25,2018-03-01
Alagoas,1,139.8,2018-03-03
Alagoas,1,215.0,2018-03-06
Alagoas,1,69.9,2018-03-07
Alagoas,1,49.4,2018-03-09
Alagoas,2,699.8,2018-03-10
Alagoas,4,940.88,2018-03-11
Alagoas,1,79.8,2018-03-12
Alagoas,1,24.9,2018-03-19
Alagoas,2,499.8,2018-03-20
Alagoas,1,92.9,2018-03-21
Alagoas,2,339.9,2018-03-22
Alagoas,2,198.88,2018-03-23
Alagoas,2,218.98,2018-03-25
Alagoas,2,152.47,2018-03-26
Alagoas,1,420.0,2018-03-27
Alagoas,2,968.9,2018-03-28
Alagoas,1,91.64,2018-03-29
Alagoas,2,1716.9,2018-03-30
Alagoas,1,99.0,2018-04-02
Alagoas,2,78.49,2018-04-03
Alagoas,2,407.0,2018-04-04
Alagoas,1,117.7,2018-04-06
Alagoas,1,79.99,2018-04-07
Alagoas,2,185.0,2018-04-08
Alagoas,1,179.0,2018-04-09
Alagoas,2,108.75,2018-04-17
Alagoas,2,1666.2,2018-04-18
Alagoas,5,1715.76,2018-04-19
Alagoas,1,69.0,2018-04-20
Alagoas,1,199.0,2018-04-21
Alagoas,2,93.48,2018-04-23
Alagoas,1,750.0,2018-04-24
Alagoas,2,273.9,2018-04-26
Alagoas,1,39.9,2018-04-28
Alagoas,1,44.06,2018-04-30
Alagoas,2,519.98,2018-05-02
Alagoas,1,13.2,2018-05-04
Alagoas,1,349.9,2018-05-08
Alagoas,4,436.0,2018-05-09
Alagoas,1,798.9,2018-05-10
Alagoas,1,29.9,2018-05-11
Alagoas,1,798.9,2018-05-13
Alagoas,1,55.0,2018-05-15
Alagoas,1,149.9,2018-05-16
Alagoas,1,149.9,2018-05-17
Alagoas,1,156.94,2018-05-23
Alagoas,1,27.0,2018-05-26
Alagoas,1,43.9,2018-05-28
Alagoas,2,127.67,2018-05-30
Alagoas,2,103.99,2018-06-01
Alagoas,2,182.9,2018-06-03
Alagoas,1,230.0,2018-06-04
Alagoas,1,1005.55,2018-06-05
Alagoas,1,119.98,2018-06-09
Alagoas,2,244.89,2018-06-10
Alagoas,3,404.99,2018-06-11
Alagoas,1,209.99,2018-06-12
Alagoas,2,159.8,2018-06-14
Alagoas,1,49.9,2018-06-20
Alagoas,1,70.0,2018-06-22
Alagoas,1,40.0,2018-06-24
Alagoas,1,29.0,2018-06-25
Alagoas,2,113.62,2018-06-26
Alagoas,2,429.99,2018-06-27
Alagoas,1,336.0,2018-06-28
Alagoas,1,364.0,2018-07-03
Alagoas,2,224.9,2018-07-06
Alagoas,1,69.99,2018-07-07
Alagoas,1,70.0,2018-07-08
Alagoas,1,189.88,2018-07-09
Alagoas,1,199.0,2018-07-10
Alagoas,1,43.0,2018-07-12
Alagoas,2,216.89,2018-07-13
Alagoas,1,49.99,2018-07-14
Alagoas,3,159.7,2018-07-16
Alagoas,2,715.99,2018-07-17
Alagoas,1,70.0,2018-07-19
Alagoas,1,214.0,2018-07-20
Alagoas,2,149.89,2018-07-21
Alagoas,2,620.0,2018-07-26
Alagoas,1,599.0,2018-07-31
Alagoas,1,63.9,2018-08-01
Alagoas,1,65.0,2018-08-02
Alagoas,2,142.9,2018-08-03
Alagoas,1,99.9,2018-08-05
Alagoas,2,77.0,2018-08-07
Alagoas,2,195.89,2018-08-08
Alagoas,3,656.8,2018-08-09
Alagoas,1,367.0,2018-08-10
Alagoas,1,25.99,2018-08-11
Alagoas,1,169.9,2018-08-12
Alagoas,1,389.0,2018-08-15
Amapa,1,349.9,2017-02-02
Amapa,1,199.95,2017-02-28
Amapa,1,195.8,2017-03-16
Amapa,1,75.0,2017-03-20
Amapa,1,32.99,2017-03-22
Amapa,1,116.0,2017-05-03
Amapa,1,589.99,2017-05-08
Amapa,1,99.49,2017-05-09
Amapa,1,385.0,2017-05-14
Amapa,1,129.9,2017-05-23
Amapa,1,52.9,2017-06-08
Amapa,1,199.8,2017-06-16
Amapa,1,259.9,2017-07-04
Amapa,2,259.8,2017-08-08
Amapa,1,29.99,2017-08-17
Amapa,1,269.7,2017-09-02
Amapa,1,94.9,2017-09-14
Amapa,1,44.95,2017-10-01
Amapa,1,109.9,2017-10-23
Amapa,1,1437.0,2017-10-24
Amapa,1,75.0,2017-11-04
Amapa,1,177.99,2017-11-23
Amapa,1,49.99,2017-11-24
Amapa,1,208.9,2017-11-29
Amapa,1,199.0,2017-12-06
Amapa,1,189.9,2017-12-09
Amapa,1,105.0,2017-12-15
Amapa,1,108.0,2017-12-25
Amapa,2,1557.24,2018-01-02
Amapa,1,173.0,2018-01-04
Amapa,1,219.0,2018-01-05
Amapa,1,39.9,2018-01-13
Amapa,2,198.9,2018-01-18
Amapa,2,176.99,2018-01-20
Amapa,1,14.99,2018-01-22
Amapa,1,13.65,2018-01-24
Amapa,1,798.0,2018-02-01
Amapa,1,209.9,2018-02-03
Amapa,1,139.9,2018-03-05
Amapa,1,24.99,2018-03-13
Amapa,1,75.0,2018-03-17
Amapa,1,56.5,2018-03-23
Amapa,1,239.0,2018-03-25
Amapa,1,79.0,2018-04-01
Amapa,1,399.8,2018-04-03
Amapa,2,255.9,2018-04-10
Amapa,1,88.0,2018-04-13
Amapa,1,199.99,2018-05-04
Amapa,1,126.0,2018-05-07
Amapa,1,99.9,2018-05-08
Amapa,1,130.0,2018-05-09
Amapa,1,299.8,2018-05-14
Amapa,1,99.99,2018-05-30
Amapa,1,67.49,2018-06-09
Amapa,1,99.99,2018-06-26
Amapa,1,949.9,2018-07-05
Amapa,1,75.0,2018-07-06
Amapa,1,122.99,2018-07-10
Amapa,2,117.0,2018-07-11
Amapa,1,85.95,2018-07-15
Amapa,1,95.0,2018-08-10
Amapa,1,99.0,2018-08-16
Amazonas,1,343.4,2017-02-02
Amazonas,1,109.9,2017-02-04
Amazonas,3,249.8,2017-02-06
Amazonas,1,19.9,2017-02-08
Amazonas,1,149.9,2017-02-17
Amazonas,1,29.99,2017-02-18
Amazonas,1,171.79,2017-03-10
Amazonas,1,149.9,2017-03-12
Amazonas,1,159.9,2017-03-13
Amazonas,1,99.9,2017-03-24
Amazonas,1,49.9,2017-03-30
Amazonas,1,69.9,2017-04-01
Amazonas,2,127.89,2017-04-03
Amazonas,1,109.9,2017-04-09
Amazonas,1,57.17,2017-04-16
Amazonas,1,89.0,2017-04-18
Amazonas,2,143.75,2017-04-20
Amazonas,1,59.9,2017-04-24
Amazonas,2,115.89,2017-04-25
Amazonas,1,13.98,2017-04-26
Amazonas,1,49.0,2017-04-30
Amazonas,1,149.9,2017-05-03
Amazonas,1,169.9,2017-05-08
Amazonas,1,126.99,2017-05-11
Amazonas,1,199.0,2017-05-15
Amazonas,1,56.0,2017-05-21
Amazonas,1,47.49,2017-05-25
Amazonas,1,8.5,2017-05-27
Amazonas,1,185.0,2017-05-29
Amazonas,1,129.99,2017-05-31
Amazonas,1,169.99,2017-06-25
Amazonas,1,55.9,2017-07-01
Amazonas,1,315.0,2017-07-06
Amazonas,1,54.9,2017-07-17
Amazonas,1,89.9,2017-07-20
Amazonas,1,189.9,2017-07-29
Amazonas,1,255.0,2017-08-11
Amazonas,1,101.8,2017-08-13
Amazonas,1,59.9,2017-08-20
Amazonas,1,280.0,2017-08-21
Amazonas,1,579.9,2017-08-24
Amazonas,1,135.9,2017-09-11
Amazonas,1,36.0,2017-09-12
Amazonas,1,66.9,2017-09-15
Amazonas,2,721.7,2017-09-20
Amazonas,1,28.9,2017-09-23
Amazonas,1,69.99,2017-09-25
Amazonas,2,103.89,2017-09-26
Amazonas,1,19.99,2017-10-02
Amazonas,1,30.99,2017-10-19
Amazonas,1,19.9,2017-10-23
Amazonas,1,24.9,2017-11-05
Amazonas,1,1340.0,2017-11-09
Amazonas,1,277.0,2017-11-12
Amazonas,1,29.9,2017-11-15
Amazonas,1,439.0,2017-11-20
Amazonas,1,13.65,2017-11-21
Amazonas,1,171.9,2017-11-24
Amazonas,1,180.0,2017-11-27
Amazonas,2,158.9,2017-11-29
Amazonas,1,45.0,2017-12-02
Amazonas,1,29.99,2017-12-09
Amazonas,1,27.99,2017-12-12
Amazonas,1,699.99,2017-12-13
Amazonas,1,179.99,2017-12-23
Amazonas,1,46.5,2017-12-28
Amazonas,1,48.9,2018-01-06
Amazonas,1,149.0,2018-01-11
Amazonas,1,54.99,2018-01-12
Amazonas,1,388.0,2018-01-13
Amazonas,1,19.99,2018-01-15
Amazonas,1,289.0,2018-01-19
Amazonas,2,119.89,2018-01-21
Amazonas,1,28.9,2018-01-24
Amazonas,1,1688.0,2018-01-26
Amazonas,1,109.0,2018-01-28
Amazonas,1,29.98,2018-01-30
Amazonas,1,47.49,2018-02-15
Amazonas,1,540.0,2018-02-16
Amazonas,1,580.27,2018-02-17
Amazonas,1,424.0,2018-02-19
Amazonas,1,29.99,2018-02-20
Amazonas,1,138.9,2018-02-24
Amazonas,1,209.99,2018-02-25
Amazonas,1,57.98,2018-02-26
Amazonas,1,14.4,2018-03-02
Amazonas,1,399.0,2018-03-03
Amazonas,1,54.4,2018-03-12
Amazonas,1,84.99,2018-03-13
Amazonas,1,69.9,2018-03-15
Amazonas,1,134.67,2018-03-18
Amazonas,1,115.9,2018-03-28
Amazonas,1,99.9,2018-03-29
Amazonas,1,145.0,2018-03-31
Amazonas,1,59.9,2018-04-03
Amazonas,1,18.0,2018-04-06
Amazonas,1,149.99,2018-04-09
Amazonas,1,49.9,2018-04-14
Amazonas,1,240.0,2018-04-16
Amazonas,1,150.0,2018-04-26
Amazonas,2,126.1,2018-05-01
Amazonas,1,1190.65,2018-05-04
Amazonas,1,24.9,2018-05-06
Amazonas,1,28.9,2018-05-08
Amazonas,1,87.0,2018-05-11
Amazonas,1,216.0,2018-05-14
Amazonas,1,58.35,2018-05-16
Amazonas,1,79.9,2018-05-29
Amazonas,1,72.9,2018-06-03
Amazonas,2,469.19,2018-06-05
Amazonas,1,59.99,2018-06-07
Amazonas,1,50.0,2018-06-09
Amazonas,1,149.65,2018-06-13
Amazonas,1,122.99,2018-06-20
Amazonas,2,179.8,2018-07-01
Amazonas,1,76.0,2018-07-04
Amazonas,1,89.9,2018-07-11
Amazonas,1,139.9,2018-07-13
Amazonas,2,206.37,2018-07-14
Amazonas,2,532.0,2018-07-16
Amazonas,2,87.89,2018-07-20
Amazonas,1,169.99,2018-07-23
Amazonas,1,24.99,2018-07-25
Amazonas,1,139.9,2018-07-26
Amazonas,1,21.5,2018-07-27
Amazonas,3,336.67,2018-07-28
Amazonas,1,150.0,2018-08-01
Amazonas,1,120.9,2018-08-03
Amazonas,1,59.9,2018-08-05
Amazonas,1,49.9,2018-08-14
Bahia,1,19.99,2016-10-04
Bahia,2,819.16,2016-10-08
Bahia,1,54.9,2016-10-10
Bahia,1,65.0,2017-01-05
Bahia,1,349.9,2017-01-15
Bahia,1,74.5,2017-01-16
Bahia,2,205.8,2017-01-17
Bahia,2,619.0,2017-01-24
Bahia,5,664.78,2017-01-25
Bahia,4,429.69,2017-01-26
Bahia,1,139.0,2017-01-27
Bahia,3,778.49,2017-01-28
Bahia,2,267.96,2017-01-29
Bahia,1,92.1,2017-01-30
Bahia,2,269.8,2017-01-31
Bahia,2,247.99,2017-02-01
Bahia,5,781.78,2017-02-02
Bahia,3,219.8,2017-02-03
Bahia,2,141.98,2017-02-04
Bahia,6,544.29,2017-02-05
Bahia,1,52.3,2017-02-07
Bahia,2,179.4,2017-02-08
Bahia,1,82.99,2017-02-09
Bahia,2,274.9,2017-02-10
Bahia,1,263.98,2017-02-11
Bahia,1,212.0,2017-02-12
Bahia,2,296.95,2017-02-13
Bahia,4,398.84,2017-02-14
Bahia,1,49.99,2017-02-15
Bahia,2,309.8,2017-02-16
Bahia,5,650.87,2017-02-17
Bahia,2,375.8,2017-02-19
Bahia,2,244.8,2017-02-20
Bahia,1,19.9,2017-02-22
Bahia,4,283.6,2017-02-23
Bahia,6,927.14,2017-02-24
Bahia,1,18.99,2017-02-25
Bahia,1,99.0,2017-02-26
Bahia,1,337.69,2017-02-27
Bahia,1,72.9,2017-02-28
Bahia,2,128.9,2017-03-01
Bahia,4,474.7,2017-03-02
Bahia,2,1479.9,2017-03-03
Bahia,3,255.9,2017-03-04
Bahia,5,695.6,2017-03-05
Bahia,4,218.69,2017-03-06
Bahia,3,460.4,2017-03-07
Bahia,4,740.69,2017-03-08
Bahia,3,556.8,2017-03-09
Bahia,2,305.0,2017-03-10
Bahia,4,2088.89,2017-03-11
Bahia,1,65.2,2017-03-12
Bahia,1,109.95,2017-03-13
Bahia,4,606.73,2017-03-14
Bahia,5,1335.2,2017-03-15
Bahia,4,455.62,2017-03-16
Bahia,3,457.65,2017-03-17
Bahia,1,717.71,2017-03-18
Bahia,1,189.99,2017-03-19
Bahia,8,902.72,2017-03-20
Bahia,1,299.0,2017-03-21
Bahia,4,298.79,2017-03-22
Bahia,3,230.89,2017-03-23
Bahia,2,108.99,2017-03-24
Bahia,4,481.79,2017-03-25
Bahia,3,380.89,2017-03-26
Bahia,1,50.0,2017-03-27
Bahia,1,28.9,2017-03-28
Bahia,2,339.89,2017-03-29
Bahia,2,859.95,2017-03-30
Bahia,4,616.79,2017-03-31
Bahia,2,469.59,2017-04-01
Bahia,2,239.89,2017-04-02
Bahia,3,2152.94,2017-04-03
Bahia,4,806.67,2017-04-04
Bahia,1,2951.0,2017-04-05
Bahia,4,313.7,2017-04-06
Bahia,4,377.98,2017-04-07
Bahia,3,511.09,2017-04-08
Bahia,5,1028.65,2017-04-09
Bahia,2,198.99,2017-04-10
Bahia,7,877.04,2017-04-11
Bahia,4,481.64,2017-04-13
Bahia,2,233.99,2017-04-14
Bahia,2,68.8,2017-04-15
Bahia,4,547.79,2017-04-16
Bahia,3,449.88,2017-04-17
Bahia,2,806.79,2017-04-18
Bahia,3,294.88,2017-04-19
Bahia,3,434.99,2017-04-20
Bahia,3,194.74,2017-04-21
Bahia,1,119.9,2017-04-22
Bahia,3,254.88,2017-04-23
Bahia,3,473.79,2017-04-24
Bahia,6,1496.54,2017-04-26
Bahia,2,669.89,2017-04-27
Bahia,7,1470.6,2017-04-28
Bahia,4,535.88,2017-04-29
Bahia,3,219.3,2017-04-30
Bahia,3,208.92,2017-05-01
Bahia,6,446.27,2017-05-02
Bahia,4,562.77,2017-05-03
Bahia,4,299.78,2017-05-04
Bahia,2,1015.99,2017-05-05
Bahia,2,99.2,2017-05-06
Bahia,3,151.78,2017-05-07
Bahia,7,767.85,2017-05-08
Bahia,10,2646.04,2017-05-09
Bahia,1,59.9,2017-05-10
Bahia,3,340.98,2017-05-11
Bahia,2,196.5,2017-05-12
Bahia,6,1058.34,2017-05-13
Bahia,4,282.25,2017-05-14
Bahia,7,410.4,2017-05-15
Bahia,5,1602.89,2017-05-16
Bahia,6,802.21,2017-05-17
Bahia,2,111.88,2017-05-18
Bahia,3,175.0,2017-05-19
Bahia,5,420.67,2017-05-21
Bahia,3,102.98,2017-05-22
Bahia,4,697.79,2017-05-23
Bahia,3,420.5,2017-05-24
Bahia,5,633.51,2017-05-25
Bahia,3,440.7,2017-05-26
Bahia,3,448.8,2017-05-27
Bahia,3,328.88,2017-05-28
Bahia,5,436.77,2017-05-29
Bahia,8,682.26,2017-05-30
Bahia,3,816.61,2017-05-31
Bahia,5,591.87,2017-06-01
Bahia,6,770.47,2017-06-02
Bahia,4,632.78,2017-06-03
Bahia,1,56.61,2017-06-04
Bahia,4,3193.59,2017-06-05
Bahia,4,1069.89,2017-06-06
Bahia,5,951.59,2017-06-07
Bahia,1,209.99,2017-06-08
Bahia,3,261.7,2017-06-09
Bahia,2,331.0,2017-06-10
Bahia,2,132.8,2017-06-11
Bahia,4,1133.92,2017-06-12
Bahia,3,218.89,2017-06-13
Bahia,8,2390.67,2017-06-14
Bahia,6,1069.0,2017-06-15
Bahia,5,306.33,2017-06-16
Bahia,2,131.89,2017-06-17
Bahia,3,423.69,2017-06-18
Bahia,8,2558.76,2017-06-19
Bahia,2,162.99,2017-06-20
Bahia,1,59.9,2017-06-22
Bahia,4,393.89,2017-06-23
Bahia,1,119.8,2017-06-24
Bahia,1,447.0,2017-06-25
Bahia,2,169.8,2017-06-26
Bahia,6,1400.5,2017-06-27
Bahia,8,1543.38,2017-06-28
Bahia,1,12.97,2017-06-29
Bahia,3,242.9,2017-06-30
Bahia,2,809.14,2017-07-01
Bahia,2,113.79,2017-07-02
Bahia,3,114.89,2017-07-03
Bahia,2,78.98,2017-07-04
Bahia,6,1151.89,2017-07-05
Bahia,7,629.78,2017-07-06
Bahia,5,630.1,2017-07-07
Bahia,2,269.93,2017-07-08
Bahia,3,299.36,2017-07-09
Bahia,3,284.7,2017-07-10
Bahia,6,727.59,2017-07-11
Bahia,8,941.59,2017-07-12
Bahia,6,538.69,2017-07-13
Bahia,6,811.88,2017-07-14
Bahia,6,577.79,2017-07-15
Bahia,8,1278.61,2017-07-16
Bahia,10,1802.2,2017-07-17
Bahia,4,1927.15,2017-07-18
Bahia,7,974.58,2017-07-19
Bahia,5,824.59,2017-07-20
Bahia,5,584.5,2017-07-21
Bahia,5,555.98,2017-07-22
Bahia,7,680.19,2017-07-23
Bahia,5,299.25,2017-07-24
Bahia,6,511.9,2017-07-25
Bahia,2,130.85,2017-07-26
Bahia,5,672.7,2017-07-27
Bahia,3,191.88,2017-07-28
Bahia,5,558.23,2017-07-29
Bahia,7,316.74,2017-07-30
Bahia,8,889.86,2017-08-01
Bahia,3,265.79,2017-08-02
Bahia,5,1071.82,2017-08-03
Bahia,7,1076.91,2017-08-04
Bahia,3,369.88,2017-08-05
Bahia,4,393.87,2017-08-06
Bahia,8,1932.84,2017-08-07
Bahia,2,235.99,2017-08-09
Bahia,3,417.79,2017-08-10
Bahia,5,613.35,2017-08-11
Bahia,7,1007.75,2017-08-12
Bahia,2,68.7,2017-08-13
Bahia,9,1133.87,2017-08-14
Bahia,4,152.99,2017-08-15
Bahia,2,2798.0,2017-08-16
Bahia,5,586.3,2017-08-17
