product_category_en,Revenue,Order Date
market_place,77.9,2016-10-05
computers_accessories,75.0,2016-10-05
air_conditioning,149.9,2016-10-05
air_conditioning,149.9,2016-10-05
baby,329.99,2016-10-05
industry_commerce_and_business,89.9,2016-10-05
books_technical,267.0,2016-10-05
toys,128.9,2016-10-05
market_place,77.9,2016-10-05
furniture_decor,22.37,2016-10-05
health_beauty,59.9,2016-10-05
furniture_decor,14.9,2016-10-05
consoles_games,629.9,2016-10-05
baby,99.0,2016-10-05
furniture_decor,22.9,2016-10-05
auto,10.0,2016-10-05
sports_leisure,649.0,2016-10-05
toys,101.9,2016-10-05
furniture_decor,14.9,2016-10-05
auto,49.99,2016-10-05
furniture_decor,248.0,2016-10-05
telephony,29.9,2016-10-05
toys,128.9,2016-10-05
toys,129.99,2016-10-05
furniture_decor,19.9,2016-10-05
toys,119.99,2016-10-05
toys,128.7,2016-10-05
toys,629.9,2016-10-05
computers_accessories,43.89,2016-10-05
health_beauty,59.9,2016-10-05
health_beauty,30.97,2016-10-05
health_beauty,30.97,2016-10-05
perfumery,59.9,2016-10-05
bed_bath_table,169.9,2016-10-05
auto,294.9,2016-10-05
pet_shop,109.9,2016-10-06
bed_bath_table,59.9,2016-10-06
telephony,29.9,2016-10-06
fashion_bags_accessories,25.9,2016-10-06
health_beauty,156.97,2016-10-06
furniture_decor,79.9,2016-10-06
health_beauty,59.9,2016-10-06
health_beauty,59.9,2016-10-06
furniture_decor,49.0,2016-10-06
computers_accessories,38.0,2016-10-06
electronics,107.99,2016-10-06
watches_gifts,633.0,2016-10-06
perfumery,89.9,2016-10-06
perfumery,299.9,2016-10-06
furniture_decor,49.99,2016-10-06
sports_leisure,89.9,2016-10-06
watches_gifts,649.17,2016-10-06
sports_leisure,44.9,2016-10-06
health_beauty,40.9,2016-10-06
computers_accessories,38.0,2016-10-06
computers_accessories,38.0,2016-10-06
baby,159.9,2016-10-06
toys,128.9,2016-10-06
health_beauty,49.99,2016-10-06
health_beauty,49.99,2016-10-06
baby,39.9,2016-10-06
consoles_games,15.0,2016-10-06
fashion_bags_accessories,24.9,2016-10-06
fashion_bags_accessories,24.9,2016-10-06
perfumery,279.9,2016-10-06
health_beauty,49.9,2016-10-06
cool_stuff,136.9,2016-10-06
garden_tools,139.99,2016-10-06
pet_shop,99.9,2016-10-06
furniture_decor,39.99,2016-10-06
fixed_telephony,79.99,2016-10-06
perfumery,39.9,2016-10-06
market_place,177.9,2016-10-06
perfumery,249.9,2016-10-06
perfumery,249.9,2016-10-06
sports_leisure,18.9,2016-10-06
computers_accessories,38.0,2016-10-06
cool_stuff,69.9,2016-10-06
toys,69.99,2016-10-06
housewares,199.9,2016-10-06
toys,41.99,2016-10-06
housewares,199.9,2016-10-06
perfumery,249.9,2016-10-06
perfumery,59.9,2016-10-06
telephony,31.89,2016-10-06
auto,499.99,2016-10-06
fashion_bags_accessories,88.0,2016-10-06
market_place,48.0,2016-10-06
cool_stuff,64.9,2016-10-06
furniture_decor,59.9,2016-10-06
health_beauty,109.99,2016-10-06
sports_leisure,1299.99,2016-10-06
computers_accessories,20.9,2016-10-06
furniture_decor,249.0,2016-10-07
auto,49.99,2016-10-07
sports_leisure,138.0,2016-10-07
baby,99.9,2016-10-07
fixed_telephony,269.9,2016-10-07
toys,249.99,2016-10-07
toys,249.99,2016-10-07
cool_stuff,49.0,2016-10-07
health_beauty,174.9,2016-10-07
furniture_decor,29.99,2016-10-07
furniture_decor,73.35,2016-10-07
furniture_decor,39.99,2016-10-07
industry_commerce_and_business,89.9,2016-10-07
auto,51.5,2016-10-07
office_furniture,129.97,2016-10-07
housewares,109.9,2016-10-07
housewares,109.9,2016-10-07
pet_shop,379.98,2016-10-07
housewares,109.9,2016-10-07
perfumery,249.9,2016-10-07
baby,99.9,2016-10-07
computers_accessories,18.9,2016-10-07
toys,99.99,2016-10-07
toys,79.9,2016-10-07
cool_stuff,399.0,2016-10-07
perfumery,249.9,2016-10-07
perfumery,349.9,2016-10-07
telephony,18.9,2016-10-07
garden_tools,590.0,2016-10-07
air_conditioning,178.9,2016-10-07
health_beauty,131.99,2016-10-07
furniture_decor,193.8,2016-10-07
computers_accessories,153.0,2016-10-07
furniture_decor,49.0,2016-10-07
market_place,58.0,2016-10-07
perfumery,339.9,2016-10-07
health_beauty,69.9,2016-10-07
health_beauty,69.9,2016-10-07
perfumery,32.9,2016-10-07
health_beauty,39.7,2016-10-07
computers_accessories,161.55,2016-10-07
health_beauty,59.9,2016-10-07
health_beauty,30.97,2016-10-07
baby,27.9,2016-10-07
computers_accessories,32.5,2016-10-07
toys,128.9,2016-10-07
audio,132.0,2016-10-07
cool_stuff,212.4,2016-10-07
perfumery,44.9,2016-10-07
perfumery,44.9,2016-10-07
perfumery,44.9,2016-10-07
air_conditioning,178.9,2016-10-07
,15.9,2016-10-08
furniture_decor,129.99,2016-10-08
perfumery,59.9,2016-10-08
perfumery,299.9,2016-10-08
garden_tools,69.99,2016-10-08
computers_accessories,43.89,2016-10-08
perfumery,299.9,2016-10-08
health_beauty,239.9,2016-10-08
watches_gifts,649.17,2016-10-08
computers_accessories,35.0,2016-10-08
furniture_decor,49.0,2016-10-08
perfumery,339.9,2016-10-08
furniture_decor,159.9,2016-10-08
baby,249.99,2016-10-08
furniture_decor,74.9,2016-10-08
furniture_decor,119.99,2016-10-08
health_beauty,54.99,2016-10-08
furniture_decor,49.0,2016-10-08
furniture_decor,59.9,2016-10-08
health_beauty,49.9,2016-10-08
furniture_decor,59.9,2016-10-08
housewares,19.9,2016-10-08
furniture_decor,59.9,2016-10-08
furniture_decor,59.9,2016-10-08
computers_accessories,119.9,2016-10-08
sports_leisure,21.5,2016-10-08
computers_accessories,64.8,2016-10-08
industry_commerce_and_business,89.9,2016-10-08
office_furniture,689.99,2016-10-08
baby,83.9,2016-10-08
furniture_decor,49.9,2016-10-08
furniture_decor,17.8,2016-10-08
auto,35.0,2016-10-08
health_beauty,75.9,2016-10-08
watches_gifts,1399.0,2016-10-08
consoles_games,949.99,2016-10-08
sports_leisure,49.99,2016-10-08
fashion_bags_accessories,49.9,2016-10-08
diapers_and_hygiene,134.9,2016-10-08
toys,99.99,2016-10-08
health_beauty,389.0,2016-10-08
housewares,169.99,2016-10-08
industry_commerce_and_business,89.9,2016-10-08
health_beauty,210.0,2016-10-08
furniture_decor,399.99,2016-10-08
sports_leisure,62.9,2016-10-09
health_beauty,90.0,2016-10-09
office_furniture,129.97,2016-10-09
fashion_bags_accessories,135.0,2016-10-09
sports_leisure,39.9,2016-10-09
toys,99.99,2016-10-09
fashion_bags_accessories,79.9,2016-10-09
furniture_decor,299.99,2016-10-09
auto,195.0,2016-10-09
auto,195.0,2016-10-09
furniture_decor,39.99,2016-10-09
furniture_decor,47.4,2016-10-09
health_beauty,79.99,2016-10-09
perfumery,11.9,2016-10-09
health_beauty,56.0,2016-10-09
furniture_decor,39.9,2016-10-09
furniture_decor,39.9,2016-10-09
furniture_decor,39.9,2016-10-09
computers_accessories,35.0,2016-10-09
garden_tools,380.0,2016-10-09
health_beauty,49.9,2016-10-09
bed_bath_table,29.9,2016-10-09
toys,549.99,2016-10-09
health_beauty,87.99,2016-10-09
housewares,44.99,2016-10-09
furniture_decor,72.9,2016-10-09
health_beauty,29.9,2016-10-09
perfumery,59.9,2016-10-09
furniture_decor,39.9,2016-10-09
bed_bath_table,19.83,2016-10-09
bed_bath_table,19.83,2016-10-09
furniture_decor,95.0,2016-10-09
bed_bath_table,19.83,2016-10-09
books_general_interest,119.5,2016-10-09
sports_leisure,49.99,2016-10-10
computers_accessories,19.0,2016-10-10
health_beauty,59.9,2016-10-10
health_beauty,59.9,2016-10-10
auto,161.99,2016-10-10
health_beauty,72.0,2016-10-10
fixed_telephony,6.0,2016-10-10
housewares,32.99,2016-10-10
consoles_games,58.0,2016-10-10
consoles_games,58.0,2016-10-10
market_place,94.99,2016-10-10
health_beauty,39.7,2016-10-10
health_beauty,99.9,2016-10-10
furniture_decor,739.98,2016-10-10
market_place,311.0,2016-10-10
furniture_decor,45.89,2016-10-10
pet_shop,99.9,2016-10-10
telephony,29.9,2016-10-10
perfumery,16.9,2016-10-10
food,79.9,2016-10-10
toys,49.9,2016-10-10
furniture_decor,59.9,2016-10-10
toys,279.9,2016-10-10
furniture_decor,65.9,2016-10-10
sports_leisure,39.99,2016-10-10
furniture_decor,28.9,2016-10-10
furniture_decor,28.9,2016-10-10
furniture_decor,39.99,2016-10-10
furniture_decor,28.9,2016-10-10
health_beauty,131.0,2016-10-10
furniture_decor,169.9,2016-10-10
fashion_bags_accessories,24.9,2016-10-10
market_place,69.0,2016-10-10
fashion_bags_accessories,54.9,2016-10-10
audio,24.99,2016-10-10
office_furniture,176.97,2016-10-10
telephony,19.9,2016-10-10
computers_accessories,164.0,2016-10-10
sports_leisure,49.9,2016-10-10
consoles_games,49.0,2016-10-10
fashion_bags_accessories,10.9,2016-12-23
furniture_bedroom,9.9,2017-01-05
baby,9.9,2017-01-05
garden_tools,65.0,2017-01-05
fashion_bags_accessories,10.9,2017-01-05
pet_shop,7.9,2017-01-05
furniture_bedroom,9.9,2017-01-05
fashion_bags_accessories,10.9,2017-01-05
pet_shop,11.9,2017-01-05
fashion_bags_accessories,10.9,2017-01-05
furniture_bedroom,9.9,2017-01-05
fashion_bags_accessories,10.9,2017-01-05
fashion_bags_accessories,10.9,2017-01-05
fashion_bags_accessories,10.9,2017-01-05
music,9.9,2017-01-05
music,9.9,2017-01-05
fashion_bags_accessories,10.9,2017-01-05
furniture_bedroom,9.9,2017-01-05
fashion_bags_accessories,10.9,2017-01-05
fashion_bags_accessories,10.9,2017-01-05
baby,11.9,2017-01-05
auto,10.9,2017-01-05
furniture_bedroom,9.9,2017-01-05
pet_shop,9.9,2017-01-05
toys,34.9,2017-01-05
furniture_bedroom,6.9,2017-01-05
pet_shop,2.9,2017-01-05
stationery,10.9,2017-01-05
auto,10.9,2017-01-05
furniture_bedroom,9.9,2017-01-05
furniture_bedroom,6.9,2017-01-05
toys,8.9,2017-01-05
pet_shop,9.9,2017-01-05
fixed_telephony,10.49,2017-01-06
toys,159.99,2017-01-06
consoles_games,109.9,2017-01-06
health_beauty,636.0,2017-01-06
cool_stuff,399.0,2017-01-07
health_beauty,370.0,2017-01-07
cool_stuff,399.0,2017-01-07
watches_gifts,149.0,2017-01-07
furniture_decor,34.9,2017-01-07
furniture_decor,129.9,2017-01-08
garden_tools,239.9,2017-01-08
furniture_decor,129.9,2017-01-08
fashion_bags_accessories,129.99,2017-01-08
fixed_telephony,10.99,2017-01-08
bed_bath_table,68.9,2017-01-08
health_beauty,109.9,2017-01-09
pet_shop,7.9,2017-01-09
furniture_decor,38.5,2017-01-09
furniture_decor,38.5,2017-01-09
sports_leisure,129.0,2017-01-09
cool_stuff,349.99,2017-01-09
cool_stuff,176.0,2017-01-10
furniture_decor,64.9,2017-01-10
bed_bath_table,48.9,2017-01-10
garden_tools,380.0,2017-01-10
watches_gifts,699.17,2017-01-10
bed_bath_table,65.9,2017-01-10
fixed_telephony,10.99,2017-01-11
toys,164.9,2017-01-11
furniture_decor,17.5,2017-01-11
small_appliances,97.99,2017-01-11
sports_leisure,209.9,2017-01-11
garden_tools,380.0,2017-01-11
toys,129.99,2017-01-11
garden_tools,380.0,2017-01-11
watches_gifts,129.0,2017-01-11
garden_tools,380.0,2017-01-11
telephony,755.99,2017-01-11
baby,119.9,2017-01-11
small_appliances,377.0,2017-01-12
fashion_bags_accessories,33.9,2017-01-12
housewares,19.9,2017-01-12
telephony,755.99,2017-01-12
furniture_decor,59.9,2017-01-12
furniture_decor,169.9,2017-01-12
computers_accessories,161.55,2017-01-12
computers_accessories,161.55,2017-01-12
furniture_decor,59.9,2017-01-12
telephony,10.49,2017-01-12
furniture_decor,184.9,2017-01-12
computers_accessories,39.9,2017-01-12
baby,59.9,2017-01-12
furniture_decor,99.9,2017-01-12
computers_accessories,39.9,2017-01-12
health_beauty,189.99,2017-01-13
health_beauty,54.9,2017-01-13
watches_gifts,279.0,2017-01-13
garden_tools,380.0,2017-01-13
furniture_decor,69.9,2017-01-13
bed_bath_table,69.9,2017-01-13
sports_leisure,113.0,2017-01-13
housewares,498.99,2017-01-13
garden_tools,380.0,2017-01-13
furniture_decor,89.9,2017-01-13
garden_tools,380.0,2017-01-13
furniture_decor,45.0,2017-01-14
furniture_decor,66.9,2017-01-14
furniture_decor,24.9,2017-01-14
sports_leisure,169.9,2017-01-14
fixed_telephony,34.9,2017-01-14
fixed_telephony,34.9,2017-01-14
consoles_games,109.9,2017-01-14
furniture_decor,89.9,2017-01-14
sports_leisure,28.0,2017-01-14
furniture_decor,89.9,2017-01-14
sports_leisure,59.9,2017-01-14
sports_leisure,99.9,2017-01-14
furniture_decor,83.5,2017-01-14
fixed_telephony,10.99,2017-01-14
furniture_decor,29.9,2017-01-14
furniture_decor,29.9,2017-01-14
furniture_decor,38.5,2017-01-14
bed_bath_table,65.9,2017-01-14
furniture_decor,38.5,2017-01-15
furniture_decor,50.9,2017-01-15
furniture_decor,19.9,2017-01-15
cool_stuff,38.9,2017-01-15
furniture_decor,19.9,2017-01-15
telephony,10.49,2017-01-15
furniture_decor,149.9,2017-01-15
furniture_decor,38.5,2017-01-15
telephony,10.49,2017-01-15
sports_leisure,183.9,2017-01-15
health_beauty,349.9,2017-01-15
garden_tools,380.0,2017-01-15
fashion_bags_accessories,89.99,2017-01-15
garden_tools,380.0,2017-01-15
furniture_decor,19.9,2017-01-15
furniture_decor,19.9,2017-01-15
furniture_decor,19.9,2017-01-15
bed_bath_table,48.9,2017-01-15
furniture_decor,19.9,2017-01-15
furniture_decor,149.9,2017-01-15
toys,159.9,2017-01-15
market_place,32.9,2017-01-16
pet_shop,74.5,2017-01-16
fashion_bags_accessories,34.9,2017-01-16
furniture_decor,45.9,2017-01-16
auto,595.99,2017-01-16
telephony,14.97,2017-01-16
sports_leisure,28.0,2017-01-16
fashion_bags_accessories,49.9,2017-01-16
auto,29.4,2017-01-16
fixed_telephony,10.99,2017-01-16
health_beauty,164.99,2017-01-16
health_beauty,184.99,2017-01-16
electronics,39.0,2017-01-16
fashion_bags_accessories,29.9,2017-01-16
auto,345.0,2017-01-16
furniture_decor,99.9,2017-01-16
furniture_decor,99.9,2017-01-16
furniture_decor,99.9,2017-01-16
furniture_decor,99.9,2017-01-16
health_beauty,370.0,2017-01-16
fixed_telephony,45.0,2017-01-16
fixed_telephony,45.0,2017-01-16
fixed_telephony,137.99,2017-01-16
cool_stuff,629.0,2017-01-16
sports_leisure,45.0,2017-01-17
toys,45.9,2017-01-17
toys,44.95,2017-01-17
furniture_decor,38.5,2017-01-17
sports_leisure,45.0,2017-01-17
bed_bath_table,48.9,2017-01-17
baby,134.17,2017-01-17
furniture_decor,68.9,2017-01-17
perfumery,8.9,2017-01-17
fixed_telephony,10.99,2017-01-17
sports_leisure,44.6,2017-01-17
auto,109.2,2017-01-17
perfumery,39.9,2017-01-17
cool_stuff,66.9,2017-01-17
sports_leisure,159.9,2017-01-17
electronics,39.0,2017-01-17
toys,89.99,2017-01-17
sports_leisure,45.0,2017-01-17
toys,44.95,2017-01-17
electronics,38.9,2017-01-17
electronics,38.9,2017-01-17
electronics,38.9,2017-01-17
sports_leisure,45.0,2017-01-17
,169.0,2017-01-17
fixed_telephony,10.99,2017-01-17
furniture_decor,59.9,2017-01-17
furniture_decor,290.0,2017-01-17
furniture_decor,45.9,2017-01-17
garden_tools,157.0,2017-01-17
fashion_bags_accessories,169.9,2017-01-17
health_beauty,349.9,2017-01-17
furniture_decor,45.9,2017-01-17
small_appliances,37.9,2017-01-17
toys,199.99,2017-01-17
watches_gifts,379.0,2017-01-17
furniture_decor,49.9,2017-01-17
perfumery,44.9,2017-01-17
health_beauty,164.99,2017-01-18
furniture_decor,24.9,2017-01-18
sports_leisure,128.0,2017-01-18
furniture_decor,24.9,2017-01-18
furniture_decor,37.99,2017-01-18
baby,168.0,2017-01-18
furniture_decor,89.9,2017-01-18
market_place,77.08,2017-01-18
watches_gifts,189.0,2017-01-18
stationery,164.9,2017-01-18
consoles_games,719.88,2017-01-18
toys,81.0,2017-01-18
pet_shop,70.83,2017-01-18
sports_leisure,14.99,2017-01-18
baby,45.0,2017-01-18
health_beauty,349.9,2017-01-18
furniture_decor,24.9,2017-01-18
toys,149.99,2017-01-18
fixed_telephony,10.99,2017-01-18
furniture_decor,45.9,2017-01-18
auto,117.3,2017-01-18
baby,39.98,2017-01-18
baby,29.9,2017-01-18
toys,49.9,2017-01-18
electronics,60.0,2017-01-18
computers_accessories,199.9,2017-01-18
bed_bath_table,68.9,2017-01-18
home_appliances_2,467.0,2017-01-18
computers_accessories,20.9,2017-01-18
sports_leisure,24.9,2017-01-18
housewares,173.85,2017-01-18
furniture_decor,43.9,2017-01-18
garden_tools,33.99,2017-01-18
computers_accessories,19.9,2017-01-18
health_beauty,99.0,2017-01-18
bed_bath_table,79.9,2017-01-19
auto,87.9,2017-01-19
toys,34.9,2017-01-19
fixed_telephony,10.99,2017-01-19
baby,40.0,2017-01-19
baby,40.0,2017-01-19
baby,40.0,2017-01-19
auto,35.0,2017-01-19
baby,149.99,2017-01-19
bed_bath_table,149.9,2017-01-19
market_place,62.9,2017-01-19
furniture_decor,45.9,2017-01-19
furniture_decor,104.9,2017-01-19
furniture_decor,144.5,2017-01-19
auto,29.4,2017-01-19
furniture_decor,128.8,2017-01-19
furniture_decor,144.5,2017-01-19
housewares,89.9,2017-01-19
telephony,6.9,2017-01-19
baby,40.0,2017-01-19
computers_accessories,84.9,2017-01-19
furniture_decor,144.5,2017-01-19
health_beauty,145.0,2017-01-19
electronics,29.5,2017-01-19
furniture_decor,59.5,2017-01-19
furniture_decor,49.0,2017-01-19
furniture_decor,31.5,2017-01-19
bed_bath_table,59.5,2017-01-19
furniture_decor,109.5,2017-01-19
housewares,419.9,2017-01-19
furniture_decor,12.99,2017-01-19
furniture_decor,12.99,2017-01-19
sports_leisure,659.0,2017-01-19
sports_leisure,39.99,2017-01-19
furniture_decor,229.9,2017-01-19
sports_leisure,29.99,2017-01-20
sports_leisure,29.99,2017-01-20
sports_leisure,29.99,2017-01-20
sports_leisure,29.99,2017-01-20
cool_stuff,115.2,2017-01-20
furniture_decor,39.9,2017-01-20
furniture_decor,39.9,2017-01-20
furniture_decor,45.89,2017-01-20
stationery,79.61,2017-01-20
furniture_decor,47.0,2017-01-20
stationery,79.61,2017-01-20
health_beauty,99.9,2017-01-20
health_beauty,99.9,2017-01-20
health_beauty,349.9,2017-01-20
furniture_decor,46.9,2017-01-20
stationery,79.61,2017-01-20
stationery,79.61,2017-01-20
furniture_decor,115.9,2017-01-20
furniture_decor,119.9,2017-01-20
baby,19.99,2017-01-20
sports_leisure,10.3,2017-01-20
furniture_decor,37.99,2017-01-20
sports_leisure,29.99,2017-01-20
consoles_games,195.99,2017-01-20
bed_bath_table,124.9,2017-01-20
cool_stuff,22.3,2017-01-20
,349.99,2017-01-20
furniture_decor,34.9,2017-01-20
consoles_games,23.0,2017-01-20
electronics,249.9,2017-01-20
auto,229.9,2017-01-20
auto,229.9,2017-01-20
fashion_shoes,34.9,2017-01-20
consoles_games,23.0,2017-01-20
cool_stuff,598.4,2017-01-20
furniture_decor,51.9,2017-01-20
furniture_decor,49.0,2017-01-20
garden_tools,105.99,2017-01-20
fashion_bags_accessories,54.9,2017-01-20
furniture_decor,65.9,2017-01-21
furniture_decor,119.99,2017-01-21
furniture_decor,50.9,2017-01-21
furniture_decor,89.9,2017-01-21
electronics,11.5,2017-01-21
furniture_decor,169.9,2017-01-21
furniture_decor,99.9,2017-01-21
health_beauty,28.9,2017-01-21
furniture_decor,54.99,2017-01-21
furniture_decor,9.9,2017-01-21
sports_leisure,59.99,2017-01-21
auto,19.0,2017-01-21
furniture_decor,9.9,2017-01-21
stationery,79.61,2017-01-21
furniture_decor,59.9,2017-01-21
stationery,79.61,2017-01-21
furniture_decor,119.9,2017-01-21
bed_bath_table,219.9,2017-01-21
stationery,79.61,2017-01-21
consoles_games,139.99,2017-01-21
furniture_decor,29.9,2017-01-21
furniture_decor,31.5,2017-01-21
sports_leisure,66.9,2017-01-21
fashion_male_clothing,126.9,2017-01-21
furniture_decor,59.9,2017-01-21
stationery,79.61,2017-01-21
cool_stuff,15.8,2017-01-21
consoles_games,139.99,2017-01-21
furniture_decor,9.9,2017-01-21
furniture_decor,9.9,2017-01-21
furniture_decor,9.9,2017-01-21
computers_accessories,19.9,2017-01-21
furniture_decor,9.9,2017-01-21
stationery,79.61,2017-01-21
bed_bath_table,99.9,2017-01-21
bed_bath_table,99.9,2017-01-21
garden_tools,69.9,2017-01-22
furniture_decor,64.9,2017-01-22
garden_tools,69.9,2017-01-22
toys,42.99,2017-01-22
garden_tools,69.9,2017-01-22
housewares,14.5,2017-01-22
furniture_decor,119.0,2017-01-22
health_beauty,26.8,2017-01-22
bed_bath_table,59.5,2017-01-22
sports_leisure,113.0,2017-01-22
furniture_decor,69.9,2017-01-22
furniture_decor,119.0,2017-01-22
toys,104.99,2017-01-22
furniture_decor,47.0,2017-01-22
fixed_telephony,45.0,2017-01-22
furniture_decor,32.9,2017-01-22
fashion_underwear_beach,86.25,2017-01-22
health_beauty,184.99,2017-01-22
health_beauty,636.0,2017-01-22
fixed_telephony,45.0,2017-01-22
furniture_decor,44.99,2017-01-22
health_beauty,184.99,2017-01-22
toys,49.9,2017-01-22
garden_tools,129.99,2017-01-22
furniture_decor,129.9,2017-01-22
bed_bath_table,89.9,2017-01-22
baby,40.0,2017-01-22
pet_shop,149.0,2017-01-22
health_beauty,23.9,2017-01-22
consoles_games,689.89,2017-01-22
health_beauty,23.9,2017-01-22
furniture_decor,29.99,2017-01-22
electronics,11.5,2017-01-22
garden_tools,112.99,2017-01-23
air_conditioning,149.9,2017-01-23
furniture_decor,44.99,2017-01-23
furniture_decor,19.9,2017-01-23
garden_tools,129.99,2017-01-23
toys,89.9,2017-01-23
fashion_bags_accessories,79.9,2017-01-23
air_conditioning,149.9,2017-01-23
agro_industry_and_commerce,21.99,2017-01-23
agro_industry_and_commerce,21.99,2017-01-23
fashion_bags_accessories,129.99,2017-01-23
housewares,173.85,2017-01-23
furniture_decor,42.0,2017-01-23
fashion_bags_accessories,19.9,2017-01-23
computers_accessories,26.99,2017-01-23
health_beauty,310.9,2017-01-23
garden_tools,144.99,2017-01-23
garden_tools,144.99,2017-01-23
garden_tools,112.99,2017-01-23
health_beauty,23.9,2017-01-23
furniture_decor,29.9,2017-01-23
health_beauty,23.9,2017-01-23
bed_bath_table,89.9,2017-01-23
sports_leisure,203.37,2017-01-23
housewares,173.85,2017-01-23
garden_tools,510.0,2017-01-23
sports_leisure,859.0,2017-01-23
toys,42.99,2017-01-23
pet_shop,135.9,2017-01-23
furniture_decor,37.99,2017-01-23
bed_bath_table,69.9,2017-01-23
bed_bath_table,69.9,2017-01-23
health_beauty,349.9,2017-01-23
health_beauty,59.9,2017-01-23
furniture_decor,9.9,2017-01-23
furniture_decor,9.9,2017-01-23
health_beauty,87.99,2017-01-23
furniture_decor,9.9,2017-01-23
furniture_decor,9.9,2017-01-23
fashion_bags_accessories,44.9,2017-01-23
furniture_decor,9.9,2017-01-23
furniture_decor,24.9,2017-01-23
furniture_decor,24.9,2017-01-23
consoles_games,329.9,2017-01-23
telephony,17.95,2017-01-23
auto,174.4,2017-01-23
sports_leisure,109.99,2017-01-23
computers_accessories,20.9,2017-01-23
fashion_bags_accessories,24.9,2017-01-23
auto,595.99,2017-01-23
cool_stuff,39.0,2017-01-23
cool_stuff,39.0,2017-01-23
health_beauty,349.9,2017-01-23
cool_stuff,39.0,2017-01-23
furniture_decor,39.99,2017-01-24
toys,129.99,2017-01-24
bed_bath_table,20.0,2017-01-24
market_place,224.16,2017-01-24
auto,238.9,2017-01-24
toys,199.99,2017-01-24
sports_leisure,113.0,2017-01-24
housewares,64.99,2017-01-24
toys,279.99,2017-01-24
consoles_games,719.88,2017-01-24
furniture_decor,79.99,2017-01-24
baby,36.9,2017-01-24
furniture_decor,39.99,2017-01-24
health_beauty,31.0,2017-01-24
health_beauty,164.99,2017-01-24
perfumery,59.9,2017-01-24
