product_category_en,Revenue,Freight Costs,Order_Date
telephony,29.9,8.72,2016-10-06
perfumery,299.9,13.68,2016-10-06
toys,128.9,16.04,2016-10-06
toys,69.99,17.58,2016-10-06
cool_stuff,64.9,25.33,2016-10-06
watches_gifts,633.0,20.39,2016-10-06
toys,41.99,19.07,2016-10-06
furniture_decor,59.9,25.92,2016-10-06
health_beauty,40.9,11.03,2016-10-06
computers_accessories,38.0,16.71,2016-10-06
computers_accessories,38.0,16.72,2016-10-06
computers_accessories,38.0,16.72,2016-10-06
housewares,199.9,33.7,2016-10-06
computers_accessories,38.0,16.72,2016-10-06
fashion_bags_accessories,24.9,22.93,2016-10-06
fashion_bags_accessories,24.9,22.93,2016-10-06
watches_gifts,649.17,22.14,2016-10-06
housewares,199.9,33.7,2016-10-06
sports_leisure,44.9,20.8,2016-10-06
furniture_decor,49.0,25.15,2016-10-06
perfumery,59.9,14.93,2016-10-06
perfumery,249.9,17.59,2016-10-06
fixed_telephony,79.99,11.17,2016-10-06
health_beauty,59.9,28.97,2016-10-06
health_beauty,59.9,28.97,2016-10-06
perfumery,39.9,16.05,2016-10-06
furniture_decor,39.99,11.95,2016-10-06
perfumery,249.9,17.59,2016-10-06
toys,249.99,10.74,2016-10-07
industry_commerce_and_business,89.9,23.27,2016-10-07
telephony,18.9,10.96,2016-10-07
computers_accessories,161.55,15.3,2016-10-07
audio,132.0,15.08,2016-10-07
computers_accessories,18.9,22.28,2016-10-07
health_beauty,69.9,17.63,2016-10-07
furniture_decor,193.8,18.52,2016-10-07
health_beauty,69.9,17.63,2016-10-07
perfumery,349.9,13.61,2016-10-07
cool_stuff,49.0,14.72,2016-10-07
fixed_telephony,269.9,16.65,2016-10-07
perfumery,44.9,15.63,2016-10-07
furniture_decor,39.99,11.81,2016-10-07
pet_shop,379.98,35.7,2016-10-07
perfumery,44.9,15.63,2016-10-07
perfumery,44.9,15.63,2016-10-07
furniture_decor,49.0,20.49,2016-10-07
air_conditioning,178.9,21.75,2016-10-07
air_conditioning,178.9,21.75,2016-10-07
toys,128.9,16.04,2016-10-07
health_beauty,39.7,24.7,2016-10-07
auto,49.99,26.61,2016-10-07
health_beauty,59.9,11.31,2016-10-07
perfumery,249.9,20.85,2016-10-07
furniture_decor,29.99,10.96,2016-10-07
furniture_decor,249.0,16.95,2016-10-07
toys,249.99,10.74,2016-10-07
auto,51.5,14.53,2016-10-07
market_place,58.0,14.6,2016-10-07
office_furniture,129.97,20.49,2016-10-07
furniture_decor,73.35,12.23,2016-10-07
perfumery,32.9,14.52,2016-10-07
computers_accessories,32.5,20.8,2016-10-07
perfumery,249.9,14.03,2016-10-07
garden_tools,590.0,21.56,2016-10-07
cool_stuff,399.0,56.01,2016-10-07
perfumery,339.9,14.45,2016-10-07
housewares,109.9,11.23,2016-10-07
housewares,109.9,11.23,2016-10-07
housewares,109.9,11.23,2016-10-07
computers_accessories,153.0,17.3,2016-10-07
health_beauty,131.99,17.55,2016-10-07
health_beauty,174.9,17.65,2016-10-07
health_beauty,30.97,10.96,2016-10-07
toys,79.9,16.33,2016-10-07
toys,99.99,11.23,2016-10-07
baby,27.9,14.52,2016-10-07
baby,99.9,12.26,2016-10-07
cool_stuff,212.4,25.57,2016-10-07
baby,99.9,12.26,2016-10-07
sports_leisure,138.0,22.44,2016-10-07
furniture_decor,49.9,26.61,2016-10-08
baby,83.9,9.07,2016-10-08
watches_gifts,649.17,25.16,2016-10-08
diapers_and_hygiene,134.9,16.09,2016-10-08
,15.9,14.52,2016-10-08
computers_accessories,64.8,11.13,2016-10-08
computers_accessories,119.9,15.01,2016-10-08
health_beauty,389.0,60.65,2016-10-08
health_beauty,239.9,16.75,2016-10-08
furniture_decor,399.99,20.09,2016-10-08
perfumery,339.9,21.27,2016-10-08
watches_gifts,1399.0,24.55,2016-10-08
baby,249.99,11.93,2016-10-08
sports_leisure,49.99,11.17,2016-10-08
toys,99.99,11.23,2016-10-08
furniture_decor,49.0,22.7,2016-10-08
housewares,19.9,24.84,2016-10-08
health_beauty,75.9,26.79,2016-10-08
computers_accessories,35.0,16.05,2016-10-08
housewares,169.99,34.39,2016-10-08
furniture_decor,159.9,23.12,2016-10-08
perfumery,299.9,13.82,2016-10-08
furniture_decor,59.9,6.8,2016-10-08
furniture_decor,119.99,29.4,2016-10-08
furniture_decor,49.0,22.7,2016-10-08
furniture_decor,17.8,14.12,2016-10-08
perfumery,299.9,19.19,2016-10-08
sports_leisure,21.5,8.72,2016-10-08
furniture_decor,59.9,32.4,2016-10-08
furniture_decor,59.9,16.2,2016-10-08
office_furniture,689.99,93.23,2016-10-08
furniture_decor,74.9,12.02,2016-10-08
health_beauty,49.9,18.82,2016-10-08
health_beauty,54.99,9.49,2016-10-08
garden_tools,69.99,12.09,2016-10-08
perfumery,59.9,25.18,2016-10-08
health_beauty,210.0,36.09,2016-10-08
consoles_games,949.99,21.97,2016-10-08
auto,35.0,10.96,2016-10-08
computers_accessories,43.89,14.52,2016-10-08
fashion_bags_accessories,49.9,10.96,2016-10-08
industry_commerce_and_business,89.9,13.71,2016-10-08
furniture_decor,129.99,9.9,2016-10-08
furniture_decor,59.9,32.4,2016-10-08
industry_commerce_and_business,89.9,13.71,2016-10-08
fashion_bags_accessories,135.0,18.51,2016-10-09
furniture_decor,39.99,15.63,2016-10-09
bed_bath_table,29.9,15.11,2016-10-09
health_beauty,79.99,18.84,2016-10-09
health_beauty,90.0,26.89,2016-10-09
books_general_interest,119.5,25.04,2016-10-09
sports_leisure,39.9,15.7,2016-10-09
bed_bath_table,19.83,17.0,2016-10-09
furniture_decor,39.9,19.24,2016-10-09
bed_bath_table,19.83,17.0,2016-10-09
furniture_decor,39.9,19.24,2016-10-09
bed_bath_table,19.83,17.0,2016-10-09
furniture_decor,39.9,19.24,2016-10-09
auto,195.0,34.57,2016-10-09
auto,195.0,34.57,2016-10-09
furniture_decor,95.0,17.78,2016-10-09
sports_leisure,62.9,17.35,2016-10-09
fashion_bags_accessories,79.9,11.17,2016-10-09
health_beauty,56.0,20.47,2016-10-09
perfumery,11.9,10.96,2016-10-09
health_beauty,87.99,16.61,2016-10-09
furniture_decor,299.99,17.91,2016-10-09
furniture_decor,72.9,14.39,2016-10-09
toys,549.99,63.79,2016-10-09
health_beauty,29.9,14.59,2016-10-09
office_furniture,129.97,29.38,2016-10-09
computers_accessories,35.0,16.05,2016-10-09
garden_tools,380.0,39.06,2016-10-09
toys,99.99,11.23,2016-10-09
perfumery,59.9,0.48,2016-10-09
furniture_decor,47.4,12.41,2016-10-09
housewares,44.99,15.53,2016-10-09
furniture_decor,39.9,9.31,2016-10-09
health_beauty,49.9,29.94,2016-10-09
furniture_decor,28.9,14.11,2016-10-10
health_beauty,131.0,12.78,2016-10-10
health_beauty,39.7,29.32,2016-10-10
telephony,29.9,10.96,2016-10-10
audio,24.99,10.96,2016-10-10
sports_leisure,49.9,11.74,2016-10-10
fashion_bags_accessories,54.9,20.94,2016-10-10
telephony,19.9,14.52,2016-10-10
office_furniture,176.97,87.11,2016-10-10
sports_leisure,39.99,24.84,2016-10-10
furniture_decor,28.9,14.11,2016-10-10
furniture_decor,28.9,14.11,2016-10-10
furniture_decor,39.99,11.8,2016-10-10
health_beauty,99.9,16.27,2016-10-10
housewares,32.99,15.56,2016-10-10
furniture_decor,45.89,11.17,2016-10-10
consoles_games,58.0,17.33,2016-10-10
fashion_bags_accessories,24.9,20.8,2016-10-10
pet_shop,99.9,16.26,2016-10-10
furniture_decor,739.98,44.82,2016-10-10
sports_leisure,49.99,11.03,2016-10-10
furniture_decor,169.9,22.66,2016-10-10
toys,279.9,18.01,2016-10-10
market_place,69.0,11.94,2016-10-10
consoles_games,49.0,16.11,2016-10-10
market_place,94.99,17.53,2016-10-10
perfumery,16.9,10.96,2016-10-10
computers_accessories,19.0,14.52,2016-10-10
furniture_decor,65.9,23.18,2016-10-10
health_beauty,72.0,15.9,2016-10-10
fixed_telephony,6.0,14.11,2016-10-10
consoles_games,58.0,21.99,2016-10-10
auto,161.99,32.86,2016-10-10
health_beauty,59.9,17.7,2016-10-10
toys,49.9,24.84,2016-10-10
furniture_decor,59.9,27.61,2016-10-10
computers_accessories,164.0,18.65,2016-10-10
food,79.9,16.33,2016-10-10
market_place,311.0,27.68,2016-10-10
health_beauty,59.9,17.7,2016-10-10
fashion_bags_accessories,10.9,8.72,2016-12-23
furniture_bedroom,9.9,8.72,2017-01-05
fashion_bags_accessories,10.9,8.72,2017-01-05
fashion_bags_accessories,10.9,8.72,2017-01-05
auto,10.9,8.72,2017-01-05
baby,11.9,8.72,2017-01-05
fashion_bags_accessories,10.9,8.72,2017-01-05
furniture_bedroom,9.9,14.52,2017-01-05
fashion_bags_accessories,10.9,8.72,2017-01-05
music,9.9,8.72,2017-01-05
fashion_bags_accessories,10.9,8.72,2017-01-05
fashion_bags_accessories,10.9,8.72,2017-01-05
furniture_bedroom,9.9,8.72,2017-01-05
pet_shop,11.9,8.72,2017-01-05
furniture_bedroom,9.9,8.72,2017-01-05
toys,8.9,8.72,2017-01-05
pet_shop,9.9,8.72,2017-01-05
pet_shop,2.9,8.72,2017-01-05
fashion_bags_accessories,10.9,8.72,2017-01-05
stationery,10.9,8.72,2017-01-05
furniture_bedroom,6.9,8.72,2017-01-05
furniture_bedroom,6.9,8.72,2017-01-05
music,9.9,8.72,2017-01-05
fashion_bags_accessories,10.9,8.72,2017-01-05
pet_shop,9.9,8.72,2017-01-05
pet_shop,7.9,8.72,2017-01-05
toys,34.9,16.05,2017-01-05
fashion_bags_accessories,10.9,8.72,2017-01-05
baby,9.9,8.72,2017-01-05
furniture_bedroom,9.9,8.72,2017-01-05
auto,10.9,8.72,2017-01-05
furniture_bedroom,9.9,8.72,2017-01-05
garden_tools,65.0,26.92,2017-01-05
toys,159.99,15.29,2017-01-06
health_beauty,636.0,30.71,2017-01-06
fixed_telephony,10.49,10.96,2017-01-06
consoles_games,109.9,14.94,2017-01-06
cool_stuff,399.0,24.26,2017-01-07
cool_stuff,399.0,24.26,2017-01-07
health_beauty,370.0,19.43,2017-01-07
watches_gifts,149.0,15.21,2017-01-07
furniture_decor,34.9,12.93,2017-01-07
fashion_bags_accessories,129.99,11.38,2017-01-08
furniture_decor,129.9,20.99,2017-01-08
furniture_decor,129.9,20.99,2017-01-08
bed_bath_table,68.9,15.69,2017-01-08
garden_tools,239.9,16.89,2017-01-08
fixed_telephony,10.99,14.11,2017-01-08
health_beauty,109.9,20.85,2017-01-09
sports_leisure,129.0,22.37,2017-01-09
furniture_decor,38.5,15.56,2017-01-09
furniture_decor,38.5,15.56,2017-01-09
cool_stuff,349.99,17.66,2017-01-09
pet_shop,7.9,8.72,2017-01-09
bed_bath_table,65.9,22.39,2017-01-10
furniture_decor,64.9,17.29,2017-01-10
bed_bath_table,48.9,15.56,2017-01-10
watches_gifts,699.17,20.59,2017-01-10
garden_tools,380.0,45.07,2017-01-10
cool_stuff,176.0,15.4,2017-01-10
baby,119.9,11.45,2017-01-11
toys,129.99,29.19,2017-01-11
sports_leisure,209.9,19.75,2017-01-11
small_appliances,97.99,19.28,2017-01-11
garden_tools,380.0,39.06,2017-01-11
toys,164.9,15.91,2017-01-11
watches_gifts,129.0,15.07,2017-01-11
telephony,755.99,26.75,2017-01-11
fixed_telephony,10.99,15.65,2017-01-11
garden_tools,380.0,39.06,2017-01-11
furniture_decor,17.5,10.96,2017-01-11
garden_tools,380.0,44.04,2017-01-11
baby,59.9,14.59,2017-01-12
furniture_decor,59.9,15.63,2017-01-12
fashion_bags_accessories,33.9,24.84,2017-01-12
computers_accessories,161.55,21.58,2017-01-12
computers_accessories,39.9,14.52,2017-01-12
telephony,755.99,26.35,2017-01-12
housewares,19.9,10.96,2017-01-12
furniture_decor,59.9,24.91,2017-01-12
small_appliances,377.0,22.72,2017-01-12
computers_accessories,39.9,10.96,2017-01-12
furniture_decor,99.9,15.81,2017-01-12
telephony,10.49,10.96,2017-01-12
computers_accessories,161.55,21.58,2017-01-12
furniture_decor,184.9,16.35,2017-01-12
furniture_decor,169.9,16.35,2017-01-12
garden_tools,380.0,45.07,2017-01-13
housewares,498.99,18.6,2017-01-13
bed_bath_table,69.9,15.7,2017-01-13
garden_tools,380.0,39.06,2017-01-13
furniture_decor,69.9,13.07,2017-01-13
health_beauty,189.99,12.72,2017-01-13
watches_gifts,279.0,26.44,2017-01-13
sports_leisure,113.0,36.62,2017-01-13
health_beauty,54.9,12.96,2017-01-13
garden_tools,380.0,39.06,2017-01-13
furniture_decor,89.9,15.84,2017-01-13
furniture_decor,29.9,10.96,2017-01-14
sports_leisure,59.9,17.26,2017-01-14
bed_bath_table,65.9,11.85,2017-01-14
furniture_decor,24.9,10.96,2017-01-14
furniture_decor,66.9,11.08,2017-01-14
furniture_decor,83.5,13.16,2017-01-14
sports_leisure,169.9,98.63,2017-01-14
fixed_telephony,10.99,14.52,2017-01-14
consoles_games,109.9,14.94,2017-01-14
furniture_decor,45.0,17.19,2017-01-14
furniture_decor,38.5,11.74,2017-01-14
sports_leisure,99.9,60.77,2017-01-14
fixed_telephony,34.9,16.05,2017-01-14
furniture_decor,89.9,17.37,2017-01-14
sports_leisure,28.0,17.78,2017-01-14
furniture_decor,29.9,14.11,2017-01-14
furniture_decor,89.9,14.4,2017-01-14
fixed_telephony,34.9,14.11,2017-01-14
furniture_decor,149.9,19.33,2017-01-15
health_beauty,349.9,24.38,2017-01-15
cool_stuff,38.9,16.05,2017-01-15
fashion_bags_accessories,89.99,14.66,2017-01-15
telephony,10.49,14.52,2017-01-15
furniture_decor,19.9,8.33,2017-01-15
bed_bath_table,48.9,15.56,2017-01-15
furniture_decor,19.9,8.33,2017-01-15
furniture_decor,19.9,8.33,2017-01-15
furniture_decor,38.5,15.56,2017-01-15
toys,159.9,16.33,2017-01-15
sports_leisure,183.9,15.46,2017-01-15
furniture_decor,19.9,8.33,2017-01-15
furniture_decor,50.9,11.75,2017-01-15
telephony,10.49,14.52,2017-01-15
garden_tools,380.0,39.06,2017-01-15
furniture_decor,38.5,15.56,2017-01-15
furniture_decor,19.9,8.35,2017-01-15
furniture_decor,19.9,8.33,2017-01-15
furniture_decor,149.9,19.33,2017-01-15
garden_tools,380.0,49.7,2017-01-15
auto,345.0,27.64,2017-01-16
health_beauty,184.99,16.59,2017-01-16
furniture_decor,45.9,10.96,2017-01-16
fixed_telephony,137.99,11.58,2017-01-16
pet_shop,74.5,19.22,2017-01-16
electronics,39.0,16.11,2017-01-16
market_place,32.9,10.96,2017-01-16
fashion_bags_accessories,29.9,5.14,2017-01-16
fashion_bags_accessories,49.9,12.86,2017-01-16
fixed_telephony,10.99,8.72,2017-01-16
fixed_telephony,45.0,17.91,2017-01-16
health_beauty,370.0,17.8,2017-01-16
fixed_telephony,45.0,17.91,2017-01-16
health_beauty,164.99,25.29,2017-01-16
sports_leisure,28.0,14.52,2017-01-16
fashion_bags_accessories,34.9,14.52,2017-01-16
auto,595.99,32.36,2017-01-16
auto,29.4,16.05,2017-01-16
furniture_decor,99.9,13.28,2017-01-16
cool_stuff,629.0,36.7,2017-01-16
furniture_decor,99.9,13.28,2017-01-16
furniture_decor,99.9,13.28,2017-01-16
furniture_decor,99.9,13.28,2017-01-16
telephony,14.97,14.52,2017-01-16
toys,89.99,14.8,2017-01-17
watches_gifts,379.0,27.14,2017-01-17
fixed_telephony,10.99,10.96,2017-01-17
fixed_telephony,10.99,10.96,2017-01-17
,169.0,25.0,2017-01-17
electronics,39.0,11.31,2017-01-17
toys,44.95,10.96,2017-01-17
toys,44.95,14.52,2017-01-17
bed_bath_table,48.9,11.74,2017-01-17
furniture_decor,49.9,17.09,2017-01-17
furniture_decor,290.0,13.42,2017-01-17
small_appliances,37.9,15.56,2017-01-17
sports_leisure,45.0,15.56,2017-01-17
sports_leisure,45.0,15.56,2017-01-17
toys,45.9,20.8,2017-01-17
health_beauty,349.9,17.66,2017-01-17
perfumery,44.9,15.56,2017-01-17
furniture_decor,45.9,14.52,2017-01-17
sports_leisure,44.6,14.52,2017-01-17
electronics,38.9,14.52,2017-01-17
fashion_bags_accessories,169.9,15.36,2017-01-17
sports_leisure,159.9,27.59,2017-01-17
sports_leisure,45.0,15.56,2017-01-17
garden_tools,157.0,18.85,2017-01-17
sports_leisure,45.0,15.56,2017-01-17
baby,134.17,16.05,2017-01-17
toys,199.99,16.61,2017-01-17
furniture_decor,45.9,15.56,2017-01-17
cool_stuff,66.9,15.68,2017-01-17
auto,109.2,13.34,2017-01-17
electronics,38.9,11.16,2017-01-17
furniture_decor,59.9,24.62,2017-01-17
furniture_decor,68.9,17.22,2017-01-17
perfumery,39.9,27.99,2017-01-17
furniture_decor,38.5,15.56,2017-01-17
electronics,38.9,11.16,2017-01-17
perfumery,8.9,1.05,2017-01-17
baby,39.98,11.74,2017-01-18
computers_accessories,19.9,10.96,2017-01-18
furniture_decor,37.99,31.95,2017-01-18
health_beauty,99.0,22.62,2017-01-18
fixed_telephony,10.99,16.05,2017-01-18
toys,49.9,10.96,2017-01-18
housewares,173.85,12.61,2017-01-18
sports_leisure,14.99,17.78,2017-01-18
consoles_games,719.88,20.74,2017-01-18
auto,117.3,22.29,2017-01-18
furniture_decor,43.9,26.61,2017-01-18
baby,45.0,50.0,2017-01-18
furniture_decor,89.9,17.37,2017-01-18
toys,149.99,11.66,2017-01-18
health_beauty,164.99,11.76,2017-01-18
market_place,77.08,11.15,2017-01-18
baby,29.9,14.52,2017-01-18
health_beauty,349.9,28.71,2017-01-18
computers_accessories,199.9,19.99,2017-01-18
pet_shop,70.83,52.21,2017-01-18
furniture_decor,24.9,10.96,2017-01-18
garden_tools,33.99,16.6,2017-01-18
furniture_decor,24.9,10.96,2017-01-18
furniture_decor,24.9,10.96,2017-01-18
baby,168.0,27.44,2017-01-18
electronics,60.0,14.59,2017-01-18
toys,81.0,17.31,2017-01-18
home_appliances_2,467.0,18.38,2017-01-18
bed_bath_table,68.9,15.69,2017-01-18
computers_accessories,20.9,14.52,2017-01-18
sports_leisure,24.9,20.67,2017-01-18
sports_leisure,128.0,13.48,2017-01-18
furniture_decor,45.9,10.96,2017-01-18
watches_gifts,189.0,15.49,2017-01-18
stationery,164.9,11.33,2017-01-18
bed_bath_table,59.5,13.0,2017-01-19
auto,29.4,10.96,2017-01-19
fixed_telephony,10.99,14.52,2017-01-19
furniture_decor,12.99,9.34,2017-01-19
furniture_decor,12.99,9.34,2017-01-19
auto,87.9,20.7,2017-01-19
sports_leisure,39.99,14.52,2017-01-19
furniture_decor,31.5,14.52,2017-01-19
health_beauty,145.0,16.71,2017-01-19
computers_accessories,84.9,11.2,2017-01-19
baby,149.99,32.65,2017-01-19
housewares,89.9,11.24,2017-01-19
baby,40.0,14.52,2017-01-19
auto,35.0,14.72,2017-01-19
furniture_decor,229.9,15.39,2017-01-19
baby,40.0,14.52,2017-01-19
bed_bath_table,79.9,11.95,2017-01-19
baby,40.0,14.52,2017-01-19
furniture_decor,45.9,14.52,2017-01-19
bed_bath_table,149.9,17.2,2017-01-19
sports_leisure,659.0,30.87,2017-01-19
furniture_decor,109.5,37.71,2017-01-19
telephony,6.9,15.65,2017-01-19
baby,40.0,14.52,2017-01-19
furniture_decor,59.5,17.16,2017-01-19
electronics,29.5,14.52,2017-01-19
furniture_decor,128.8,16.11,2017-01-19
furniture_decor,104.9,15.84,2017-01-19
furniture_decor,49.0,16.05,2017-01-19
housewares,419.9,31.13,2017-01-19
furniture_decor,144.5,12.11,2017-01-19
furniture_decor,144.5,16.75,2017-01-19
toys,34.9,8.72,2017-01-19
market_place,62.9,24.93,2017-01-19
furniture_decor,144.5,18.1,2017-01-19
stationery,79.61,17.3,2017-01-20
auto,229.9,18.97,2017-01-20
garden_tools,105.99,15.85,2017-01-20
furniture_decor,34.9,10.96,2017-01-20
electronics,249.9,13.14,2017-01-20
fashion_bags_accessories,54.9,20.83,2017-01-20
furniture_decor,49.0,14.52,2017-01-20
furniture_decor,45.89,14.52,2017-01-20
stationery,79.61,17.3,2017-01-20
stationery,79.61,17.3,2017-01-20
stationery,79.61,17.3,2017-01-20
furniture_decor,47.0,11.74,2017-01-20
auto,229.9,18.97,2017-01-20
sports_leisure,10.3,14.52,2017-01-20
cool_stuff,598.4,33.45,2017-01-20
fashion_shoes,34.9,14.11,2017-01-20
sports_leisure,29.99,14.52,2017-01-20
furniture_decor,39.9,11.74,2017-01-20
furniture_decor,46.9,11.74,2017-01-20
cool_stuff,115.2,4.0,2017-01-20
sports_leisure,29.99,14.52,2017-01-20
furniture_decor,119.9,15.95,2017-01-20
sports_leisure,29.99,14.52,2017-01-20
sports_leisure,29.99,14.52,2017-01-20
furniture_decor,39.9,11.74,2017-01-20
